,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
67185,1036465,375,PARK AVE,MANHATTAN,105,005260771,5250184,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,12/17/2021 06:00:00 PM,12/18/2021 06:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.758786,-73.972801,5,4,100,1013070001,TURTLE BAY-EAST MIDTOWN
14354,3332219,604,CLINTON ST,BROOKLYN,306,000643591,7590935,AHV PERMIT ISSUED,RENEWAL,EMERGENCY WORK,11/10/2018 08:00:00 AM,11/10/2018 04:30:00 PM,TRUE,FALSE,FALSE,FALSE,40.675027,-74.00173,6,38,85,3005380001,CARROLL GARDENS-COLUMBIA STREET-RED HOOK
31208,1036152,122,EAST 42 ST,MANHATTAN,105,003848721,4935205,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,06/11/2021 12:00:00 AM,06/11/2021 07:00:00 AM,FALSE,FALSE,FALSE,FALSE,40.751601,-73.97645,5,4,80,1012960014,MURRAY HILL-KIPS BAY
43491,1015500,160,5 AVE,MANHATTAN,105,004646461,2787492,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,08/18/2021 06:00:00 PM,08/19/2021 12:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.740177,-73.990589,5,3,54,1008227507,HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE
65224,4050410,95-25,QUEENS BLVD,QUEENS,406,005761631,5760157,AHV PERMIT ISSUED,RENEWAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,11/24/2021 06:00:00 PM,11/25/2021 02:00:00 AM,FALSE,TRUE,FALSE,FALSE,40.730605,-73.863635,6,29,71701,4020790001,REGO PARK
35776,1023449,881,7 AVE,MANHATTAN,105,005720821,3835340,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,08/26/2021 08:00:00 PM,08/27/2021 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.764941,-73.980445,5,4,137,1010090001,MIDTOWN-MIDTOWN SOUTH
20676,2009540,459,EAST 176 ST,BRONX,206,003048171,7525131,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,03/12/2021 06:00:00 PM,03/12/2021 11:59:00 PM,TRUE,FALSE,FALSE,FALSE,40.846162,-73.899264,6,15,395,2029090032,CLAREMONT-BATHGATE
19319,1035053,730,5 AVE,MANHATTAN,105,004482511004372321004465661,9482968,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,04/05/2021 06:00:00 PM,04/06/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.762635,-73.974222,5,4,11201,1012727503,MIDTOWN-MIDTOWN SOUTH
31261,3335796,292,KENT AVE,BROOKLYN,301,002529531,1635294,AHV PERMIT ISSUED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,06/09/2021 06:00:00 AM,06/09/2021 07:00:00 AM,TRUE,FALSE,FALSE,TRUE,40.714616,-73.966839,1,33,551,3024140025,NORTH SIDE-SOUTH SIDE
61855,1000005,1,NEW YORK PLZ,MANHATTAN,101,005106721005107041,5980175,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,12/10/2021 06:00:00 PM,12/11/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.70254,-74.012562,1,1,9,1000047501,BATTERY PARK CITY-LOWER MANHATTAN
