,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
67185,1036465,375,PARK AVENUE,MANHATTAN,105,M00526077-I1-GC,M5250184,AHV Permit Issued,Initial,Construction activities with minimal noise impact,12/17/2021 06:00:00 PM,12/18/2021 06:00:00 AM,true,true,true,false,40.758786,-73.972801,5,4,100,1013070001,Turtle Bay-East Midtown
14354,3332219,604,CLINTON STREET,BROOKLYN,306,B00064359-I1-FN,B7590935,AHV Permit Issued,Renewal,Emergency Work,11/10/2018 08:00:00 AM,11/10/2018 04:30:00 PM,true,false,false,false,40.675027,-74.00173,6,38,85,3005380001,Carroll Gardens-Columbia Street-Red Hook
31208,1036152,122,EAST 42 STREET,MANHATTAN,105,M00384872-I1-SH,M4935205,AHV Permit Issued,Initial,Construction activities with minimal noise impact,06/11/2021 12:00:00 AM,06/11/2021 07:00:00 AM,false,false,false,false,40.751601,-73.97645,5,4,80,1012960014,Murray Hill-Kips Bay
43491,1015500,160,5 AVENUE,MANHATTAN,105,M00464646-I1-GC,M2787492,AHV Permit Issued,Renewal,Public Safety,08/18/2021 06:00:00 PM,08/19/2021 12:00:00 AM,true,true,false,false,40.740177,-73.990589,5,3,54,1008227507,Hudson Yards-Chelsea-Flatiron-Union Square
65224,4050410,95-25,QUEENS BOULEVARD,QUEENS,406,Q00576163-I1-GC,Q5760157,AHV Permit Issued,Renewal,Construction activities with minimal noise impact,11/24/2021 06:00:00 PM,11/25/2021 02:00:00 AM,false,true,false,false,40.730605,-73.863635,6,29,71701,4020790001,Rego Park
35776,1023449,881,7 AVENUE,MANHATTAN,105,M00572082-I1-SH,M3835340,AHV Permit Issued,Initial,Public Safety,08/26/2021 08:00:00 PM,08/27/2021 06:00:00 AM,true,false,false,false,40.764941,-73.980445,5,4,137,1010090001,Midtown-Midtown South
20676,2009540,459,EAST 176 STREET,BRONX,206,X00304817-I1-SH,X7525131,AHV Permit Issued,Renewal,Public Safety,03/12/2021 06:00:00 PM,03/12/2021 11:59:00 PM,true,false,false,false,40.846162,-73.899264,6,15,395,2029090032,Claremont-Bathgate
19319,1035053,730,FIFTH AVENUE,MANHATTAN,105,"M00448251-I1-GC, M00437232-I1-MS, M00446566-I1-ST",M9482968,AHV Permit Issued,Initial,Public Safety,04/05/2021 06:00:00 PM,04/06/2021 02:00:00 AM,true,true,false,false,40.762635,-73.974222,5,4,11201,1012727503,Midtown-Midtown South
31261,3335796,292,KENT AVENUE,BROOKLYN,301,B00252953-I1-ST,B1635294,AHV Permit Issued,Initial,Construction activities with minimal noise impact,06/09/2021 06:00:00 AM,06/09/2021 07:00:00 AM,true,false,false,true,40.714616,-73.966839,1,33,551,3024140025,North Side-South Side
61855,1000005,1,NEW YORK PLAZA,MANHATTAN,101,"M00510672-I1-GC, M00510704-I1-MS",M5980175,AHV Permit Issued,Renewal,Public Safety,12/10/2021 06:00:00 PM,12/11/2021 02:00:00 AM,true,true,false,false,40.70254,-74.012562,1,1,9,1000047501,Battery Park City-Lower Manhattan
50513,3343595,1255,PENNSYLVANIA AVENUE,BROOKLYN,305,B00494921-I1-GC,B2800356,AHV Permit Issued,Initial,Construction activities with minimal noise impact,10/16/2021 09:00:00 AM,10/17/2021 05:00:00 AM,true,false,false,false,40.650014,-73.88415,5,42,105801,3044520085,Starrett City
21147,1026318,10,COLUMBUS CIRCLE,MANHATTAN,104,"140899838-01-EW-OT, M00345877-I1-MS, 140899847-01-EW-OT, M00345927-I1-MS",M7155931,AHV Permit Issued,Initial,Construction activities with minimal noise impact,04/03/2021 08:00:00 AM,04/03/2021 05:00:00 PM,true,true,false,false,40.768244,-73.982339,4,3,145,1010497501,Lincoln Square
35275,1085735,200,PARK AVENUE,MANHATTAN,105,M00448583-I1-GC,M4216497,AHV Permit Issued,Initial,Public Safety,07/02/2021 06:00:00 PM,07/03/2021 02:00:00 AM,true,true,true,false,40.754162,-73.976557,5,4,92,1012809010,Turtle Bay-East Midtown
11481,1087119,1095,6 AVENUE,MANHATTAN,105,M00088091-I1-SH,M8502307,AHV Permit Issued,Initial,Public Safety,06/14/2019 06:00:00 PM,06/15/2019 06:00:00 AM,false,false,false,false,40.754688,-73.984241,5,4,113,1009947501,Midtown-Midtown South
3367,2128937,4215,PARK AVENUE,BRONX,206,"X00348080-I1-MS, 240273057-01-EW-OT",X2034737,AHV Permit Issued,Initial,Emergency Work,10/19/2020 12:00:00 AM,10/19/2020 06:59:00 AM,true,false,false,false,40.847864,-73.899225,6,15,379,2030277501,Mount Hope
