,Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
2881134,3800100,ACTIVE,06/02/2021,2618,11223,WEST 13 ST,3196043,313,   ,74,BKLYN,06/07/2021,C3,06/07/2021,06/08/2021 12:00:00 AM
792845,1139951,CLOSED,04/10/2005,1420,10027,AMSTERDAM AVE,1084127,109,   ,63,CENTR,04/13/2005,G8,04/13/2005,11/07/2018 12:00:00 AM
1677764,2009188,CLOSED,07/29/1992,2420,10467,MATTHEWS AVE,2051482,211,   ,05,BRONX,08/10/1992,B1,08/05/1992,11/07/2018 12:00:00 AM
1681090,1470755,CLOSED,01/24/2018,584,10012,BROADWAY,1079998,102,   ,94,PLUMB,02/05/2018,L2,02/01/2018,11/07/2018 12:00:00 AM
152066,1077946,CLOSED,07/24/2000,400,10014,WEST 14 ST,1012237,102,   ,65,MAN.,07/25/2000,A1,07/25/2000,11/07/2018 12:00:00 AM
2756597,4827899,CLOSED,11/02/2020,143-60,11422,243 ST,4288041,413,   ,05,QNS.,12/09/2020,I2,12/08/2020,12/10/2020 12:00:00 AM
2033865,3203318,CLOSED,09/19/2006,671,11211,KENT AVE,3397977,301,   ,05,BKLYN,10/03/2006,I2,09/28/2006,11/07/2018 12:00:00 AM
1361096,4515320,CLOSED,05/14/2012,138-49,11355,BARCLAY AVE,4443458,407,   ,45,QNS.,08/15/2012,A8,08/03/2012,11/07/2018 12:00:00 AM
564798,4380907,CLOSED,11/21/2008,120-20,11418,91 AVE,4196699,409,   ,45,QNS.,12/15/2008,B1,12/05/2008,11/07/2018 12:00:00 AM
954183,4219739,CLOSED,04/12/2005,104-42,11368,38 AVE,4044560,403,   ,71,QNS.,04/14/2005,I2,04/12/2005,11/07/2018 12:00:00 AM
50513,3063206,CLOSED,04/28/1998,316,11231,COURT ST,3004209,306,   ,49,BKLYN,06/23/1998,B1,05/14/1998,11/07/2018 12:00:00 AM
2566329,3741808,CLOSED,02/07/2020,385,11238,CLASSON AVE,3809050,303,   ,30,BEST ,03/05/2020,L2,03/05/2020,03/06/2020 12:00:00 AM
1750774,1246718,CLOSED,01/17/2009,2758,10025,BROADWAY,1056626,107,   ,30,ERT  ,01/19/2009,I2,01/18/2009,11/07/2018 12:00:00 AM
2448750,5142848,CLOSED,06/25/2019,428,10306,JEFFERSON AVE,5054025,502,   ,45,Q-L  ,10/21/2019,C2,10/21/2019,10/22/2019 12:00:00 AM
857778,4049415,CLOSED,09/13/1995,200-13,11361,32 AVE,4134056,411,   ,05,QNS.,08/30/1996,C2,08/28/1996,11/07/2018 12:00:00 AM
2505882,1532397,ACTIVE,01/02/2020,234,10035,EAST 118 ST,1052626,111,   ,4A,SPOPS,N/A,  ,N/A,01/03/2020 12:00:00 AM
636014,1470247,CLOSED,01/18/2018,66,10033,PINEHURST AVE,1064307,112,   ,05,MAN.,01/24/2018,I2,01/24/2018,11/07/2018 12:00:00 AM
2782713,3778432,CLOSED,12/01/2020,355,11225,ROGERS AVE,3034429,309,   ,31,BKLYN,01/20/2021,C2,01/20/2021,01/21/2021 12:00:00 AM
697533,4730620,CLOSED,04/27/2018,97-41,11416,81 ST,4188191,409,   ,09,QNS.,05/11/2018,A8,05/10/2018,11/07/2018 12:00:00 AM
2504287,1532093,ACTIVE,12/30/2019,318,10011,WEST 15 ST,1013025,104,   ,54,MAN.,N/A,  ,N/A,12/31/2019 12:00:00 AM
2439230,2280622,CLOSED,05/01/2019,2787,10458,BRIGGS AVE,2017063,207,   ,45,BRONX,10/08/2019,C4,10/07/2019,10/09/2019 12:00:00 AM
1549660,2055164,CLOSED,10/14/2003,1186,10460,EAST 180 ST,2042484,206,   ,76,CITY ,10/16/2003,I2,10/14/2003,11/07/2018 12:00:00 AM
2540747,4802634,CLOSED,01/23/2020,94-26,11428,212 PLACE,4226096,413,   ,83,QNS.,02/06/2020,I2,02/05/2020,02/07/2020 12:00:00 AM
2793022,4833255,CLOSED,01/06/2021,169-12,11434,FOCH BLVD,4267913,412,   ,90,OBM  ,02/05/2021,L2,02/05/2021,02/06/2021 12:00:00 AM
94793,2268078,CLOSED,09/07/2018,1047,10466,EAST 223 ST,2064862,212,   ,45,BRONX,09/12/2018,G5,09/12/2018,11/07/2018 12:00:00 AM
2436242,4791970,ACTIVE,10/05/2019,88-15,11432,168 ST,4210100,412,   ,45,Q-L  ,N/A,  ,N/A,10/06/2019 12:00:00 AM
1663373,3322760,CLOSED,10/28/2009,1,11232,43 ST,3345662,307,IBZ,37,BKLYN,10/28/2009,I2,10/28/2009,11/07/2018 12:00:00 AM
406572,4079114,CLOSED,05/27/1998,109-08,11429,227 ST,4434733,413,   ,45,QNS.,06/02/1998,A9,05/31/1998,11/07/2018 12:00:00 AM
312707,4122426,CLOSED,02/16/2001,22-20,11385,GREENE AVE,4080335,405,   ,45,QNS.,03/27/2001,I2,03/25/2001,11/07/2018 12:00:00 AM
1082599,5050473,CLOSED,05/02/2005,31,10314,RUPERT AVE,5033957,502,   ,45,ST.IS,05/26/2005,C2,05/25/2005,11/07/2018 12:00:00 AM
2283,1494880,ACTIVE,11/13/2018,20,10026,WEST 111 ST,1078799,110,   ,6S,ELEVR,N/A,  ,N/A,11/14/2018 12:00:00 AM
677170,4488410,CLOSED,07/19/2011,206-12,11361,46 AVE,4156763,411,   ,65,QNS.,07/21/2011,C2,07/21/2011,11/07/2018 12:00:00 AM
2442565,2273953,CLOSED,01/04/2019,2685,10458,VALENTINE AVE,2017137,207,   ,05,BRONX,10/11/2019,L2,10/10/2019,10/12/2019 12:00:00 AM
552396,3407014,CLOSED,03/26/2012,1246,11218,36 ST,3123187,312,   ,59,ELCTR,07/16/2012,A1,06/20/2012,11/07/2018 12:00:00 AM
13379,4755998,CLOSED,11/28/2018,125-17,11419,LIBERTY AVE,4203920,410,   ,59,ELCTR,11/29/2018,I2,11/29/2018,11/30/2018 12:00:00 AM
1121717,3398384,CLOSED,12/14/2011,1719,11229,QUENTIN RD,3182470,315,   ,05,BKLYN,07/31/2012,L2,07/31/2012,11/07/2018 12:00:00 AM
2623113,3754785,ACTIVE,06/04/2020,753,11221,LEXINGTON AVE,3044109,303,   ,45,Q-L  ,N/A,  ,N/A,06/05/2020 12:00:00 AM
270828,2255345,CLOSED,01/05/2018,615,10455,MELROSE AVE,2001666,201,   ,45,BRONX,02/14/2018,I2,02/13/2018,11/07/2018 12:00:00 AM
265253,4594825,CLOSED,07/24/2014,146-17,11435,SOUTH RD,4613515,412,   ,09,OBM  ,07/24/2014,A8,07/23/2014,11/07/2018 12:00:00 AM
388253,1157428,CLOSED,01/04/2006,331,10003,EAST 14 ST,1020401,106,   ,63,ELEVR,01/17/2006,C2,01/11/2006,11/07/2018 12:00:00 AM
804793,4280785,CLOSED,10/05/2006,99-04,11368,37 AVE,4043955,403,   ,45,QNS.,10/25/2006,C2,10/23/2006,11/07/2018 12:00:00 AM
1481105,4123526,CLOSED,03/12/2001,64-34,11374,102 ST,4050857,406,   ,63,ELEVR,03/23/2001,I2,03/16/2001,11/07/2018 12:00:00 AM
1261519,4529080,CLOSED,10/01/2012,9138,11423,193 ST,4539045,412,   ,55,QNS.,03/19/2014,I2,03/18/2014,11/07/2018 12:00:00 AM
2388943,3716614,ACTIVE,08/14/2019,649,11210,EAST 24 ST,3357199,314,   ,1X,BKLYN,N/A,  ,N/A,08/15/2019 12:00:00 AM
641877,1088496,CLOSED,06/22/2001,59,10014,GREENWICH AVE,1010938,102,   ,49,SPOPS,06/28/2001,H1,06/26/2001,11/07/2018 12:00:00 AM
1056425,1447233,CLOSED,04/04/2017,164,10128,EAST 87 ST,1087120,108,   ,59,SPOPS,04/05/2017,A8,04/05/2017,11/07/2018 12:00:00 AM
155854,4093328,CLOSED,06/16/1999,43-34,11104,49 ST,4001303,402,   ,63,ELEVR,10/07/1999,J2,08/14/1999,11/07/2018 12:00:00 AM
1644461,1054631,CLOSED,01/14/1998,317,10030,WEST 141,1060736,110,   ,73,MAN.,01/27/1998,I2,01/26/1998,11/07/2018 12:00:00 AM
430097,4574875,CLOSED,01/30/2014,95-57,11419,114 ST,4198232,409,   ,79,ERT  ,01/31/2014,I1,01/31/2014,11/07/2018 12:00:00 AM
1934972,3059479,CLOSED,10/21/1997,412,11233,MACON ST,3046800,303,   ,32,BKLYN,12/22/1997,I2,12/04/1997,11/07/2018 12:00:00 AM
1349763,4641476,CLOSED,01/08/2016,5-33,11101,48 AVE,4000091,402,   ,1Z,EXEC ,01/08/2016,A8,12/30/2015,11/07/2018 12:00:00 AM
187867,3281245,CLOSED,09/25/2008,539,11231,COURT ST,3008178,306,   ,05,BKLYN,03/19/2010,L2,03/19/2010,11/07/2018 12:00:00 AM
2123914,4293586,CLOSED,02/03/2007,87-23,11375,69 AVE,4095058,406,   ,04,ERT  ,06/06/2007,I2,06/05/2007,11/07/2018 12:00:00 AM
2459001,4794958,CLOSED,11/01/2019,170-42,11434,130 AVE,4436342,412,   ,04,ERT  ,11/01/2019,I2,11/01/2019,11/02/2019 12:00:00 AM
69072,1013678,CLOSED,05/30/1991,235,10011,WEST 15 ST,1013765,104,   ,73,MAN.,08/15/1991,I2,08/12/1991,11/07/2018 12:00:00 AM
1297669,4124275,CLOSED,03/26/2001,12-12,11106,31 AVE,4005752,401,   ,45,QNS.,04/10/2001,A9,04/07/2001,11/07/2018 12:00:00 AM
2953744,4857386,ACTIVE,09/03/2021,133-01,11355,SANFORD AVE,4114264,407,   ,6S,ELEVR,N/A,  ,N/A,09/04/2021 12:00:00 AM
545674,1156147,CLOSED,12/08/2005,105,10030,WEST 138 ST,1060029,110,   ,59,ELCTR,12/21/2005,I2,12/10/2005,11/07/2018 12:00:00 AM
1904738,3272813,CLOSED,07/17/2008,2,11201,PRINCE ST,3000241,302,   ,1A,BKLYN,10/09/2008,C4,10/07/2008,11/07/2018 12:00:00 AM
3001049,1585695,ACTIVE,11/01/2021,88,10028,EAST END AVE,1085954,108,   ,04,ERT  ,N/A,  ,N/A,11/02/2021 12:00:00 AM
2697848,3770024,CLOSED,09/21/2020,99,11212,THATFORD AVE,3398403,316,   ,83,CSE  ,09/21/2020,A8,09/18/2020,09/22/2020 12:00:00 AM
958934,1063676,CLOSED,01/06/1999,113,10011,WEST 11 ST,1010587,102,   ,05,MAN.,01/13/1999,C2,01/11/1999,11/07/2018 12:00:00 AM
148358,1345927,CLOSED,03/29/2013,565,10033,WEST 181 ST,1063649,112,   ,30,ERT  ,12/30/2013,Y2,12/26/2013,11/07/2018 12:00:00 AM
1190851,3250758,CLOSED,01/16/2008,49,11225,CROWN ST,3029715,309,   ,63,ELEVR,01/24/2008,H1,01/23/2008,11/07/2018 12:00:00 AM
1983459,1046545,CLOSED,01/10/1997,208,10001,WEST 30 ST,1014295,105,   ,43,MAN.,01/13/1997,B1,01/10/1997,11/07/2018 12:00:00 AM
1025356,3554448,CLOSED,04/13/2016,1064,11221,PUTNAM AVE,3039813,303,   ,4B,SEP  ,04/20/2016,I2,04/14/2016,11/07/2018 12:00:00 AM
752226,4484368,CLOSED,06/15/2011,84-02,11415,129 ST,4193234,409,   ,30,QNS.,06/15/2011,A8,06/15/2011,11/07/2018 12:00:00 AM
2076869,3627067,CLOSED,11/10/2017,906,11221,GATES AVE,3044665,303,   ,2B,ERT  ,11/13/2017,I2,11/12/2017,11/07/2018 12:00:00 AM
2971015,3813694,CLOSED,09/13/2021,2470,11223,WEST 1 ST,3195094,315,   ,6S,ELEVR,09/24/2021,H1,09/24/2021,09/25/2021 12:00:00 AM
1412388,2199288,CLOSED,06/11/2014,1725,10453,ANDREWS AVE,2009010,205,   ,63,ELEVR,08/20/2014,I2,08/20/2014,11/07/2018 12:00:00 AM
2910604,5156112,ACTIVE,07/12/2021,249,10307,JOLINE AVE,5087476,503,   ,86,ST.IS,07/12/2021,D1,07/12/2021,07/13/2021 12:00:00 AM
66713,4210914,CLOSED,12/28/2004,40-24,11373,76 ST,4534014,404,   ,10,ERT  ,12/30/2004,I2,12/29/2004,11/07/2018 12:00:00 AM
1079189,3624786,CLOSED,10/24/2017,1691,11212,EAST NY AVE,3038834,316,   ,83,BKLYN,11/06/2017,I1,11/01/2017,11/07/2018 12:00:00 AM
228410,4286112,CLOSED,11/26/2006,103-66,11417,104 ST,4201411,410,   ,45,QNS.,01/02/2007,C2,12/27/2006,11/07/2018 12:00:00 AM
2390839,3716951,CLOSED,08/16/2019,240,11211,BROADWAY,3059648,301,   ,5H,OBM  ,08/16/2019,A8,08/16/2019,08/17/2019 12:00:00 AM
2284721,2279849,ACTIVE,04/19/2019,1075,10456,WEBSTER AVE,2102353,204,   ,6M,ELEVR,N/A,  ,N/A,04/22/2019 12:00:00 AM
413512,4159742,CLOSED,01/22/2003,101-03,11368,37 AVE,4043296,403,   ,45,QNS.,03/04/2003,H1,03/03/2003,11/07/2018 12:00:00 AM
1128653,1217931,CLOSED,03/09/2008,1150,10128,5 AVE,1051437,111,   ,10,ERT  ,07/03/2008,I2,07/02/2008,11/07/2018 12:00:00 AM
2683813,3766559,CLOSED,08/27/2020,311,11238,FRANKLIN AVE,3424967,303,   ,7F,CSC  ,09/02/2020,L2,09/01/2020,09/03/2020 12:00:00 AM
1710844,4644606,CLOSED,02/18/2016,75-02,11385,61 ST,4086572,405,   ,74,SPOPS,09/07/2018,I2,08/30/2018,11/07/2018 12:00:00 AM
2794702,3781735,ACTIVE,12/30/2020,148,11226,EAST 31 ST,3110002,317,   ,05,EXEC ,02/09/2021,C1,02/08/2021,02/10/2021 12:00:00 AM
1019430,1336428,CLOSED,10/26/2012,202,10013,6 AVE,1077764,102,   ,2G,SPOPS,10/26/2012,A9,08/25/2012,11/07/2018 12:00:00 AM
1003388,4377412,CLOSED,10/24/2008,104-26,11419,114 ST,4202604,410,   ,05,QNS.,02/03/2009,C2,01/28/2009,11/07/2018 12:00:00 AM
1490667,1056370,CLOSED,03/30/1998,145,10021,EAST 76 ST,1043173,108,   ,05,MAN.,04/15/1998,I2,04/15/1998,11/07/2018 12:00:00 AM
775910,1270224,CLOSED,11/18/2009,958,10021,MADISON AVE,1041693,108,   ,74,MAN.,12/18/2009,A8,12/14/2009,11/07/2018 12:00:00 AM
1381574,2080634,CLOSED,02/11/2006,1130,10472,LELAND AVE,2024434,209,   ,45,BRONX,03/07/2006,I2,03/02/2006,11/07/2018 12:00:00 AM
1543085,4123083,CLOSED,03/02/2001,118-07,11694,ROCKAWAY BEACH BLVD,4304831,414,   ,29,QNS.,03/23/2001,B1,03/22/2001,11/07/2018 12:00:00 AM
1235852,4205434,CLOSED,10/04/2004,89-17,11435,148 ST,4206842,412,   ,45,QNS.,10/13/2004,A9,10/06/2004,11/07/2018 12:00:00 AM
2623028,4812799,ACTIVE,06/04/2020,30-10,11103,35 ST,4009129,401,   ,45,Q-L  ,N/A,  ,N/A,06/05/2020 12:00:00 AM
2440211,2288766,CLOSED,09/13/2019,1908,10462,AMETHYST ST,2047843,211,   ,1L,PLUMB,10/09/2019,C2,10/09/2019,10/10/2019 12:00:00 AM
1538336,3293854,CLOSED,02/02/2009,341,11213,TROY AVE,3829296,309,   ,74,BKLYN,02/02/2009,A7,02/02/2009,11/07/2018 12:00:00 AM
2495677,1518935,CLOSED,08/14/2019,86,10007,WARREN ST,1090140,101,   ,7F,CSC  ,12/18/2019,L2,12/18/2019,12/19/2019 12:00:00 AM
1081844,3304627,CLOSED,05/12/2009,50,11225,LINCOLN RD,3114594,309,   ,45,BKLYN,05/15/2009,I2,05/14/2009,11/07/2018 12:00:00 AM
209865,3576608,CLOSED,10/04/2016,2098,11223,EAST 7 ST,3192023,315,   ,29,BKLYN,10/12/2016,A6,10/08/2016,11/07/2018 12:00:00 AM
1023860,3640569,CLOSED,03/02/2018,5910,11219,11 AVE,3140960,312,   ,30,ERT  ,03/02/2018,A8,03/02/2018,11/07/2018 12:00:00 AM
1371338,2041555,CLOSED,10/19/2001,4134,10466,WICKHAM AVE,2068654,212,   ,45,BRONX,04/02/2002,A9,03/30/2002,11/07/2018 12:00:00 AM
