,Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
1000920,Queens,412,4861364,121-09      , 195 STREET                     ,4402537,06/03/2009 12:00:00 AM,08/03/2020 12:00:00 AM
792845,Brooklyn,317,3117318,134         ,ERASMUS STREET                  ,3311878,07/14/2009 12:00:00 AM,03/10/2018 12:00:00 AM
31208,Manhattan,103,1088619,324         ,GRAND STREET                    ,1257502,06/02/2009 12:00:00 AM,06/13/2013 12:00:00 AM
408395,Manhattan,111,1802896,152         ,EAST 108 STREET                 ,1355423,08/29/2013 12:00:00 AM,04/12/2015 12:00:00 AM
152066,Brooklyn,306,3008083,455         ,SMITH STREET                    ,3300243,04/02/2009 12:00:00 AM,12/31/2013 12:00:00 AM
638032,Queens,412,4280286,137-52      ,BENNETT STREET                  ,4402552,06/03/2009 12:00:00 AM,10/20/2016 12:00:00 AM
581298,Manhattan,102,1007920,49          ,EAST HOUSTON STREET             ,1283488,06/14/2010 12:00:00 AM,05/21/2016 12:00:00 AM
405601,Manhattan,112,1813167,1           ,WADSWORTH TERRACE               ,1282894,06/03/2010 12:00:00 AM,04/06/2015 12:00:00 AM
564798,Manhattan,110,1057978,145         ,WEST  129 STREET                ,1284382,06/29/2010 12:00:00 AM,04/07/2016 12:00:00 AM
954183,Queens,405,4054849,65-61       ,HULL AVENUE                     ,4416279,09/22/2009 12:00:00 AM,01/13/2020 12:00:00 AM
50513,Queens,413,4863308,94-31       , 222 STREET                     ,4402750,06/03/2009 12:00:00 AM,07/13/2013 12:00:00 AM
673625,Brooklyn,304,3338446,120         ,JEFFERSON STREET                ,3432195,12/18/2012 12:00:00 AM,02/18/2017 12:00:00 AM
404199,Queens,412,4539005,107-29      ,155 STREET                      ,4521333,07/13/2012 12:00:00 AM,04/03/2015 12:00:00 AM
751625,Queens,414,4862217,461         ,BEACH 62 STREET                 ,4506914,02/09/2012 12:00:00 AM,10/17/2017 12:00:00 AM
857778,Queens,412,4864229,108-04      ,FERN PLACE                      ,4402445,06/02/2009 12:00:00 AM,11/16/2018 12:00:00 AM
295221,Brooklyn,306,3336085,232         ,SMITH STREET                    ,3341842,05/12/2010 12:00:00 AM,09/15/2014 12:00:00 AM
636014,Brooklyn,309,3115579,195         ,HAWTHORNE STREET                ,3350137,08/02/2010 12:00:00 AM,10/14/2016 12:00:00 AM
509429,Bronx,201,2001386,701         ,ELTON AVENUE                    ,2156603,03/11/2011 12:00:00 AM,11/25/2015 12:00:00 AM
697533,Brooklyn,302,3057475,70          ,HANSON PLACE                    ,3404453,02/27/2012 12:00:00 AM,04/29/2017 12:00:00 AM
948751,Staten Island,503,5167957,351         ,VETERANS ROAD WEST              ,5082991,01/21/2010 12:00:00 AM,12/19/2019 12:00:00 AM
945605,Manhattan,103,1088693,75          ,   1 AVENUE                     ,1252775,04/02/2009 12:00:00 AM,12/04/2019 12:00:00 AM
127674,Brooklyn,302,3056397,4           ,DOWNING STREET                  ,3349477,07/27/2010 12:00:00 AM,11/19/2013 12:00:00 AM
550191,Bronx,207,2125038,2184        ,CEDAR AVENUE                    ,2145017,05/10/2010 12:00:00 AM,03/01/2016 12:00:00 AM
732429,Queens,410,4864667,102-15      ,BURLINGAME COURT                ,4402440,06/02/2009 12:00:00 AM,08/18/2017 12:00:00 AM
94793,Brooklyn,306,3021020,497         ,3 STREET                        ,3440245,04/02/2013 12:00:00 AM,09/25/2013 12:00:00 AM
23536,Queens,412,4863994,107-49      , 157 STREET                     ,4410308,08/03/2009 12:00:00 AM,06/01/2013 12:00:00 AM
846749,Staten Island,501,5023780,11          ,AVENUE B                        ,5078586,05/21/2009 12:00:00 AM,10/03/2018 12:00:00 AM
406572,Queens,405,4864311,61-78       ,DRY HARBOR ROAD                 ,4415509,09/16/2009 12:00:00 AM,04/08/2015 12:00:00 AM
312707,Queens,4  ,4859760,4-21        ,  44 AVENUE                     ,4402439,06/02/2009 12:00:00 AM,10/20/2014 12:00:00 AM
1082599,Queens,414,4860595,803         ,SEAGIRT BOULEVARD               ,4507276,02/14/2012 12:00:00 AM,08/05/2021 12:00:00 AM
2283,Manhattan,105,1088896,815         ,   6 AVENUE                     ,1252768,04/02/2009 12:00:00 AM,04/29/2013 12:00:00 AM
677170,Manhattan,103,1803979,126         ,HESTER STREET                   ,1256042,05/12/2009 12:00:00 AM,03/02/2017 12:00:00 AM
84503,Queens,412,4273211,193-20      , 120 AVENUE                     ,4452886,07/29/2010 12:00:00 AM,09/08/2013 12:00:00 AM
552396,Brooklyn,310,3149134,7620        ,RIDGE BOULEVARD                 ,3437296,02/26/2013 12:00:00 AM,03/06/2016 12:00:00 AM
13379,Brooklyn,301,3062739,469         ,GRAND STREET                    ,3358653,10/22/2010 12:00:00 AM,05/16/2013 12:00:00 AM
978992,Bronx,208,2831144,103         ,PEROT STREET                    ,2186730,06/25/2013 12:00:00 AM,04/27/2020 12:00:00 AM
296587,Queens,412,4219639,112-24      , 177 STREET                     ,4441940,04/23/2010 12:00:00 AM,09/18/2014 12:00:00 AM
270828,Brooklyn,303,3852390,267         ,FRANKLIN AVENUE                 ,3410442,04/30/2012 12:00:00 AM,07/30/2014 12:00:00 AM
265253,Manhattan,110,1813229,113         ,WEST 138 STREET                 ,1323787,04/30/2012 12:00:00 AM,07/20/2014 12:00:00 AM
388253,Staten Island,501,5818483,24          ,STUYVESANT PLACE                ,5082330,12/07/2009 12:00:00 AM,02/08/2017 12:00:00 AM
804793,Queens,412,4539003,107-31      ,155 STREET                      ,4521332,07/13/2012 12:00:00 AM,04/22/2018 12:00:00 AM
1043272,Bronx,208,2127320,3198        ,CAMBRIDGE AVENUE                ,2129416,04/23/2009 12:00:00 AM,02/07/2021 12:00:00 AM
284492,Queens,412,4826171,178-02      ,HILLSIDE AVENUE                 ,4506888,02/09/2012 12:00:00 AM,08/26/2014 12:00:00 AM
869535,Manhattan,103,1803979,126         ,HESTER STREET                   ,1256042,05/12/2009 12:00:00 AM,01/04/2019 12:00:00 AM
641877,Manhattan,111,1813348,410         ,EAST 115 STREET                 ,1319249,02/27/2012 12:00:00 AM,10/31/2016 12:00:00 AM
1056425,Queens,407,4617360,132-03      ,41 ROAD                         ,4552830,07/02/2013 12:00:00 AM,04/08/2021 12:00:00 AM
155854,Manhattan,110,1059067,2173        ,FREDERICK DOUGLAS BOULEVARD     ,1355421,08/29/2013 12:00:00 AM,01/06/2014 12:00:00 AM
623933,Manhattan,111,1802896,152         ,EAST 108 STREET                 ,1355423,08/29/2013 12:00:00 AM,09/12/2016 12:00:00 AM
430097,Brooklyn,313,3847142,271         ,SEA BREEZE AVENUE               ,3300181,04/02/2009 12:00:00 AM,05/27/2015 12:00:00 AM
37440,Brooklyn,302,3057475,70          ,HANSON PLACE                    ,3404453,02/27/2012 12:00:00 AM,06/23/2013 12:00:00 AM
239575,Queens,407,4853143,114-36      ,TAIPEI COURT                    ,4543114,03/14/2013 12:00:00 AM,06/03/2014 12:00:00 AM
