,Permit BIN,Permit Application Job Number,Permit Application Document Number,Permit Application Job Type,Permit Type,Permit SubType,Permit Status Description,Permit Sequence Number,Permit Status Date,Permit Issuance Date,Permit Experation Date
67185,3018600,320250198,1,A2,EW,MH,PERMIT ISSUED,1,09/29/2011 12:00:00 AM,09/29/2011 12:00:00 AM,04/01/2012 12:00:00 AM
14354,1005743,120269565,1,A1,AL,N/A,PERMIT ISSUED,1,09/01/2011 12:00:00 AM,09/01/2011 12:00:00 AM,08/31/2012 12:00:00 AM
31208,1041338,120610669,1,A2,EW,MH,PERMIT ISSUED,1,03/30/2011 12:00:00 AM,03/30/2011 12:00:00 AM,11/01/2011 12:00:00 AM
43491,2006821,210077977,1,A2,EW,SP,PERMIT ISSUED,2,03/15/2011 12:00:00 AM,03/15/2011 12:00:00 AM,03/14/2012 12:00:00 AM
65224,3329007,320217458,2,A2,PL,N/A,PERMIT ISSUED,1,01/04/2011 12:00:00 AM,01/04/2011 12:00:00 AM,01/04/2012 12:00:00 AM
35776,1064501,120791027,1,A2,EW,OT,PERMIT ISSUED,1,08/12/2011 12:00:00 AM,08/12/2011 12:00:00 AM,06/16/2012 12:00:00 AM
20676,1051713,120560473,1,A2,EW,OT,PERMIT ISSUED,3,07/27/2011 12:00:00 AM,07/27/2011 12:00:00 AM,07/26/2012 12:00:00 AM
91390,5856518,510016732,1,NB,PL,N/A,PERMIT ISSUED,2,12/21/2010 12:00:00 AM,12/21/2010 12:00:00 AM,12/21/2011 12:00:00 AM
31261,1016046,120676321,1,A2,EW,SP,PERMIT ISSUED,1,09/27/2011 12:00:00 AM,09/27/2011 12:00:00 AM,09/26/2012 12:00:00 AM
61855,3003412,320203604,1,A2,EW,OT,PERMIT ISSUED,2,06/14/2011 12:00:00 AM,06/14/2011 12:00:00 AM,01/11/2012 12:00:00 AM
50513,3027917,302376140,1,NB,EQ,FN,PERMIT ISSUED,7,08/17/2011 12:00:00 AM,08/17/2011 12:00:00 AM,03/28/2012 12:00:00 AM
21147,1085682,120548906,1,A2,EW,SP,PERMIT ISSUED,1,07/06/2011 12:00:00 AM,07/06/2011 12:00:00 AM,07/05/2012 12:00:00 AM
73562,3251678,320203971,1,A1,AL,N/A,PERMIT ISSUED,1,06/28/2011 12:00:00 AM,06/28/2011 12:00:00 AM,01/22/2012 12:00:00 AM
11481,1034196,120366380,3,A2,EW,OT,PERMIT ISSUED,2,04/22/2011 12:00:00 AM,04/22/2011 12:00:00 AM,04/21/2012 12:00:00 AM
78515,4036459,402532675,1,A1,AL,N/A,PERMIT ISSUED,3,07/19/2011 12:00:00 AM,07/19/2011 12:00:00 AM,04/19/2012 12:00:00 AM
